Star Rating,Review Title,Review Description
5.0 out of 5 stars,These airpods are worth of money,"These airpods are actually good , very comfortable,  battery life is better than I expected overall , these airpods are worth of the price .Read more"
1.0 out of 5 stars,cheap quality product,"do not buy boat products their quality is very cheap, recently i had purchased airdopes 111 while  taking out the ear bud the cap of ear bud got dislocated and now company says its a misuse, simply while taking the ear bud out from casing the cap got dislocated, so you can understand the quality of the product very cheap. at same rate you can buy different company product. did not expected from Boat this cheap quality product. there should be negative star rating for this productRead more"
5.0 out of 5 stars,Extremely good sound quality as well as battery life.,"The product is overall very pleasing, considering the price. Not only does it has a very good sound quality, but the battery life is excellent as well. It works really well for music as well as gaming sessions. It is lightweight and portable, and not too mention the case and earpieces are sturdy.Read more"
3.0 out of 5 stars,Below Average Sound Quality,The sound are not up to the markRead more
5.0 out of 5 stars,No,Good product 👍Read more
4.0 out of 5 stars,Value for money,This product is best in this range segment and it's sound is also good as boat know  for his bass. And it's battery life is also good.Read more
5.0 out of 5 stars,Extraordinary product,"The Truke Crystal Dyno earbuds impress with their premium leather finish and powerful 13mm drivers delivering rich, immersive sound. Spatial audio enhances the listening experience, while 40ms low latency is great for gaming. With 70-hour battery life, fast charging, and clear calls via quad mics with ENC, they offer excellent value for everyday use and style.Read more"
5.0 out of 5 stars,Best quality earbuds ever used,"Earbuds in RavenBlack deliver impressive value with a premium leather-textured charging case that feels sophisticated and durable. The 13mm titanium drivers produce clear HiFi sound with punchy bass and making music and movies truly engaging. Best battery life and fast charging, they last through extended use. The 40ms ultra-low latency excels for gaming, while 4-mic ENC ensures crystal-clear calls even in noisy environments. Comfortable fit.Read more"
4.0 out of 5 stars,Affordable buy for listening music,"Very decent product considering the compact size,and leather finish is good! for affordable buy we can go for it. Sound clarity and noise cancellation is really good, mic quality range is okay but while speaking call clarity and connectivity the sound level is very feeble! If it’s only for listening music, go for it.Read more"
5.0 out of 5 stars,Earbuds with great sound quality,"Great Earphone with light weight And Comes with transparent case look's classy and stylish And Lights was too good in night , Crystal clear sound quality with Great Bass Experience,Also Game Mode Available And Battery backup is awsome Most Important Thing Comfatble in ear no pain Also Charging Cable in the box .Read more"
3.0 out of 5 stars,Good for its price point,"Earbuds is okay,the look of the case and the build quality of the case is decent but the earbuds build quality is not good,it's quite comfortable to wear it,the colour palette is very nice , it looks flashy, case and the earbuds look premium ,the connectivity and pairing of the buds is easy ,the sound quality overall is good,the touch control response is not good,the problem is that there is always a noise going through the earbuds every time you play something like a video or anything on it the noise will still keep on going even after you paused the video and it's really annoying cuz the noise is kinda loud which you can hear it clearly ,noise like this haven't occured to any of my past earbuds,but overall at this price point it's good but if you are a student thinking to purchase it, I wouldn't recommend going for this one. It's fine at this price point with the premium look and good sound qualityRead more"
5.0 out of 5 stars,Lovely product,Another banger from trukeThe look is besutiful very elegant very classy leather finishThe lights in the bud and the case looks very gaming typeSound is perfect bass and treble perfectly balancedEar fit greatBattery backup superb very easy to carryGreat for gamingOverall a must buyRead more
5.0 out of 5 stars,Good  product,"I’m really impressed with these wireless earbuds! The design looks super stylish, especially with the glowing LED lights that give it a premium feel. The charging case is compact and easy to carry, and the build quality feels solid.The sound quality is clear with good bass, making it perfect for music, videos, and calls. Pairing is quick and hassle-free, and the connection stays stable without interruptions. Battery backup is also decent—the earbuds last long enough for daily use, and the case charges them efficiently.Overall, this is a great value-for-money product with good performance and a cool look. Highly recommended for everyday use!Read more"
4.0 out of 5 stars,Nice earbuds,"The media could not be loaded.My experience with the Truke Crystal Dyno has been excellent. The sound is clear, the bass feels powerful, and the spatial audio makes movies and music more immersive. The battery life is truly amazing -I hardly need to recharge it.The leather-finish case feels premium, and the earbuds connect quickly every time. Low latency is great for gaming, and call quality is very clean because of the ENC mics.value for moneyRead more"
5.0 out of 5 stars,Nice performance,"- Immersive sound with 24-bit spatial audio and 13mm drivers- Premium leather-textured design looks stylish- 70H playtime with fast charging is super convenient- Low latency mode great for gaming- Clear calls with ENC microphones- Great value for money, budget-friendlyRead more"
5.0 out of 5 stars,Nice product,"These earphones have good sound quality.It is durable, the charge last for 6-7 hours.Very comfortable to wear.Build quality is good.This product is totally worth it.Read more"
5.0 out of 5 stars,Best product at this price range,"Overall awesome product. look and feel is above the board , sound quality good according to price . Leather finish makes it more amazing and durable . It has dual pairing mode which makes it more futuristic. Touch control also good. Gaming mode latency is decent. I'm fully satisfied with this product.Read more"
5.0 out of 5 stars,Stylish earbuds,"Nice ear pods, stylish, looking good, great colour, sound quality is very good, fast charging, mic quality is good, value for money, touch control.Read more"
4.0 out of 5 stars,Packaging is not good,Product qualities GoodRead more
5.0 out of 5 stars,Great for daily use,"I loved the sound quality of this newly launched True Wireless Earbuds, the best part is the clarity in music and calls. It has Spatial Audio to enhance the music experience, Premium Leather Design, and a long battery life that lasts for days.Read more"
5.0 out of 5 stars,Stylish Design & Beastly Battery,"The truke Mega 12 is a total steal. The leather-textured finish looks premium, and the 70H playtime is incredible—I almost forget to charge them. Sound is crisp with solid bass thanks to the 13mm drivers, and the spatial audio adds a nice immersive touch. Great value for daily use and gaming.Read more"
5.0 out of 5 stars,Awesome.....,"These wireless earbuds to be of good quality, with amazing sound and excellent noise cancellation. They are comfortable, sitting well over the ears, and feature a long-lasting battery backup with quick charging capabilities. The Bluetooth connectivity receives mixed reviews - while some find it very good, others report connectivity issues.Read more"
5.0 out of 5 stars,Beast earbuds in this budget range from Mivi.,"After using few days, I would highly recommend it. Mivi duopods marathon is beast earbuds in this budget range. Provides good fit and comfort, and provides other set of eartips and iski audio quality bhi achhi hai. These earbuds also offer dual device pairing isliye two devices par simultaneous connect possible hai. With easily switching. Battery life bhi achi hai, jisse no issue in long usage. Overall amazing earbuds. Thanks Mivi and Amazon.Read more"
5.0 out of 5 stars,Great Earbuds – Worth Buying!🤩,"I recently bought the Mivi DuoPods Marathon and I’m really happy with them. The 70 hours battery life is amazing – I hardly need to charge them often.Sound quality is clear with good bass, and calling is also smooth thanks to AI-ENC. They are lightweight, comfortable, and connect quickly with Bluetooth 5.3.Attractive design with light weight and durable.👉 Overall, great value for money. Perfect for daily use!Read more"
5.0 out of 5 stars,Best Budget Buy – Long Battery & Great Sound!,"I’ve been using the Mivi DuoPods Marathon for a while now, and they are truly excellent value for money. For this price point, the quality is surprising.Pros:Battery Life: True to the ""Marathon"" name, the battery lasts a very long time on a single charge. I don't have to worry about charging them every day.Sound Quality: The bass is deep and the vocals are clear. Great for music and watching movies.Design: The blue color looks premium and the fit is very comfortable for long hours of usage.Build: The case is compact and feels sturdy enough for daily travel.Verdict:If you want reliable earbuds that look good and perform well without breaking the bank, go for these. Highly recommended!Read more"
5.0 out of 5 stars,Good quality product,"I brought this product for my lecture and gaming purpose . At this price range it has good bass,low latency and top notch audio quality with a very long battery backup upto 3 to 4 days in normal 4 to 5 hour daily basis. It's light weight make it very comfortable to ear for long time use . Smooth  finishing gives very premium look to pods , in my opinion it is best earbuds in my budget and provide satisfaction to sound quality.  Proudly designed, engineered and manufactured in india for indianRead more"
5.0 out of 5 stars,"Premium, Sound, connectivity","Very premium sound, and touch is also very good. It is very comfortable and feels premium. I am using while doing workout also so its stick to my ear without fall. The battery life i am seeing is upto the mark. The case is also very cool. Pairing is very easy. I am also seeing that its provid wide range while listening music without latency.Read more"
5.0 out of 5 stars,Simple and Affordable Wireless Earbuds,"The Mivi DuoPods Marathon earbuds are a good budget option for daily use. They offer clear sound with decent bass, which is suitable for music and videos. The earbuds provide long battery life, lasting up to around 70 hours with the charging case. They also support stable connectivity with Bluetooth 5.3. The design is lightweight and comfortable for long listening sessions. Call quality is improved with AI noise reduction. Overall, these earbuds are a good and affordable choice for basic wireless audio needs. 🎧Read more"
4.0 out of 5 stars,Buds,"Very Comfortable in ear, Sound is very cleared on call , battery performance is decent ..only because of speaker quality  little bit disappointed but in this cost its great.Read more"
5.0 out of 5 stars,Worth the money!!,"Have been using this earbuds for 2 weeks now, the sound quality is good, calls are clear and battery backup is really worth the money.The build quality is also good with sturdy fit to anyone, I will highly recommend this for anyone who needs a budget friendly option!!Read more"
5.0 out of 5 stars,"Big Sound, Long Play: truke Mega 7 Review","The truke Mega 7 earbuds offer immersive 24-bit 360° spatial audio with clear, balanced sound. Enjoy up to 60 hours of playtime with fast charging for nonstop use.Dual pairing makes switching devices easy, while 40ms low latency is great for gaming and streaming. The 4-mic ENC ensures clear calls by reducing noise.A sleek Coal Black design and reliable performance make these earbuds a great everyday choice.Read more"
4.0 out of 5 stars,Good earbuds 👍,Absolutely great 🙏 works well...lasts long...sounds great...loved it 👍🫶It's worth the price and pairs well with my samsung phone/device and provides great sound quality compared to the expensive ones...I feel its quality is as good as a expensive one given in budget one👍🙏Read more
5.0 out of 5 stars,All rounder tws in the budget,"Good budget earbuds with impressive battery life and strong bass. The sound quality is decent for daily use like music, calls, and videos.mic, Calling clarity is clear in normal conditions.easy to use. Build quality feels okay for the price. Gaming mode works but has slight delay. Overall, a great value for money product under this price range. Satisfied with the purchase. Its my best tws in the budget.Read more"
5.0 out of 5 stars,Best product for everyday use,"The Truke Mega 7 earbuds offer impressive performance at a very budget-friendly price. The sound quality is clear with decent bass, making them great for music and casual listening. Battery life is quite strong, lasting long hours on a single charge with a reliable charging case. The design is stylish and comfortable for extended use. Colour looks so good.Connectivity is stable with minimal lag, which is good for calls and videos. Overall, it’s a great value-for-money option for everyday use.Read more"
4.0 out of 5 stars,Good for the price.,The buds are really great. Sound quality is good for this price. Call clarity is OkRead more
5.0 out of 5 stars,Nice,Sound quality is good and it’s comfortable to wear. Battery life is Good and Build quality of the case is good and looks like premium and with leathery finish. Easy to connect and works well for music and calls.Read more
3.0 out of 5 stars,Cost effective,"Sound quality is average. However in this price segment, this is good. Build quality and look is good.Read more"
5.0 out of 5 stars,Helpful Product,"The Truke Buds elite boasts impressive features, including 10 mm drivers for rich sound, 70 hour battery life, and ultra low 40 ms latency for seamless gaming. With a sleek pear. I like finish, its both stylish and functional. Available at an affordable price point, making it a great value option.Read more"
5.0 out of 5 stars,Excellent,"The quality is very good. The sound output is clear with good bass, and the build quality feels premium for the price. Battery backup is excellent and lasts for many hours on a single charge.The design is stylish and comfortable, making it easy to use for long periods without any discomfort. Connectivity with my phone was quick and stable.Overall, Mivi offers great value for money with reliable performance. If u want a budget earpods absolutely go for itRead more"
5.0 out of 5 stars,Great Sound Quality and Value for Money!,"I recently purchased a Mivi product from Amazon and I’m very impressed with the quality. The sound output is clear with good bass, and the build quality feels premium for the price. Battery backup is excellent and lasts for many hours on a single charge, which is perfect for daily use.The design is stylish and comfortable, making it easy to use for long periods without any discomfort. Connectivity with my phone was quick and stable, with no major issues so far.Overall, Mivi offers great value for money with reliable performance. I would definitely recommend this brand to anyone looking for affordable and good-quality audio products.Read more"
5.0 out of 5 stars,Great product,"The Mivi DuoPods Vibe earbuds are good for everyday use. The sound is clear with nice bass, and calls are also clear. The battery lasts a long time, so you don’t have to charge again and again.They are comfortable and okay for workouts too. Overall, a good option at this price.Read more"
1.0 out of 5 stars,"Noise is not working problem, there is too much disturbance.","Dont buy this product west of money no noise , there is no exchange and no return policy.Read more"
5.0 out of 5 stars,Amazing product,"Experience powerful sound with Mivi earbuds. Designed for comfort and built for performance, these earbuds offer immersive audio, strong bass, and long battery life. With stylish design and reliable connectivity, Mivi earbuds are perfect for music lovers, gamers, and professionals alike. A premium audio experience at a smart price.Read more"
5.0 out of 5 stars,AWESOME,"Good quality earbuds with clear voice and smooth sound. The build quality feels nice and comfortable to use for long time. Calling voice is also clear without disturbance. Battery backup is better than expected. Overall, a better product and worth buyingRead more"
4.0 out of 5 stars,Sound quality is good but playtime is poor,"I recently purchased the Mivi Duopods Vibe, and while the sound quality is impressive, the charging and battery performance have been very disappointing.- Sound Quality: The audio is clear with decent bass and treble balance. For music and calls, it performs well and gives a pleasant listening experience.- Comfort & Design: The earbuds fit comfortably and feel lightweight, making them suitable for long listening sessions. The design is stylish and compact.- Battery Life: This is where the product fails to deliver. The brand claims up to 60 hours of playtime, but in reality, I am barely getting around 5 hours before needing to recharge. This is a huge gap between advertised performance and actual usage.- Charging Case: The case charges the earbuds, but even with full charge, the backup is nowhere close to what is promised.Verdict:If you are buying mainly for sound quality, these earbuds are decent. But if long battery life is your priority, the product does not live up to its claims. The misleading 60-hour playtime promise is a major drawback.Read more"
5.0 out of 5 stars,Nice,"Good quality earbuds with clear voice and smooth sound. The build quality feels nice and comfortable to use for long time. Calling voice is also clear without disturbance. Battery backup is better than expected. Overall, a better product and worth buying.Read more"
5.0 out of 5 stars,Nice performance,"- Immersive sound with 24-bit spatial audio and 13mm drivers- Premium leather-textured design looks stylish- 70H playtime with fast charging is super convenient- Low latency mode great for gaming- Clear calls with ENC microphones- Great value for money, budget-friendlyRead more"
5.0 out of 5 stars,Nice product,"These earphones have good sound quality.It is durable, the charge last for 6-7 hours.Very comfortable to wear.Build quality is good.This product is totally worth it.Read more"
5.0 out of 5 stars,Best product at this price range,"Overall awesome product. look and feel is above the board , sound quality good according to price . Leather finish makes it more amazing and durable . It has dual pairing mode which makes it more futuristic. Touch control also good. Gaming mode latency is decent. I'm fully satisfied with this product.Read more"
5.0 out of 5 stars,Stylish earbuds,"Nice ear pods, stylish, looking good, great colour, sound quality is very good, fast charging, mic quality is good, value for money, touch control.Read more"
4.0 out of 5 stars,Packaging is not good,Product qualities GoodRead more
5.0 out of 5 stars,Great for daily use,"I loved the sound quality of this newly launched True Wireless Earbuds, the best part is the clarity in music and calls. It has Spatial Audio to enhance the music experience, Premium Leather Design, and a long battery life that lasts for days.Read more"
5.0 out of 5 stars,Stylish Design & Beastly Battery,"The truke Mega 12 is a total steal. The leather-textured finish looks premium, and the 70H playtime is incredible—I almost forget to charge them. Sound is crisp with solid bass thanks to the 13mm drivers, and the spatial audio adds a nice immersive touch. Great value for daily use and gaming.Read more"
5.0 out of 5 stars,Awesome.....,"These wireless earbuds to be of good quality, with amazing sound and excellent noise cancellation. They are comfortable, sitting well over the ears, and feature a long-lasting battery backup with quick charging capabilities. The Bluetooth connectivity receives mixed reviews - while some find it very good, others report connectivity issues.Read more"
5.0 out of 5 stars,Truke Mega 9 is definitely a great option.,"I have been using the Truke Mega 9 for a while now and I genuinely liked the overall experience. The sound quality feels quite premium for this price range, with clear audio and very impressive bass that stands out while listening to music.The battery backup is another strong point, as it easily lasts long enough for daily use without frequent charging. The design of both the case and the earbuds is simple yet attractive, and they are very pocket-friendly. Despite the minimal design, they give a nice premium and slightly luxurious feel.The calling quality is good and works well for regular use, although there is still some room for improvement. However, considering the price, it performs quite well.Overall, if you are looking for stylish, budget-friendly earbuds with strong bass, good battery life, and a premium feel, the Truke Mega 9 is definitely a great option.Read more"
4.0 out of 5 stars,"Good Quality Product - ""I like it""","I bought the Truke Mega 9 Blue, and honestly, it’s a great deal for the price. The sound is clear, the bass feels good, and watching movies or listening to music is enjoyable. Call quality is also nice and people can hear me clearly.The battery backup is amazing. I barely have to charge the case because it lasts a long time. The earbuds connect quickly every time I open the case, and switching between phone and laptop is smooth.The build is light and comfortable to wear for long periods.A really solid choice for everyday use . If you want good sound, long battery life, and a low price, this one is worth buying.Read more"
5.0 out of 5 stars,Good Sound and Battery Backup,"I recently bought the truke Mega 9 earbuds and overall I am satisfied with the product. Sound quality is good with clear voice and decent bass because of the 13mm speakers. Battery backup is very impressive and lasts for many hours, so charging is not needed frequently. The leather finish case also looks nice and premium. Call quality is good with the ENC mics and latency is low while watching videos. Overall it is a good product and value for money in this price range.Read more"
1.0 out of 5 stars,Bad product,"You said:Writing this review after using almost 5 months..* Sound Quality is Okay not that great.* Bad Quality Hardware* In 5 Months 2 times given to service center.* In Bangalore there is few service center, so dropping and collecting the item 2 times is more costly than earbuds.* If earbuds in idle mode means connected but no song is playing then automatically it goes to shutdown the earbuds. After shutdown can't restart by touch option.. To restart your have to put those earbuds to the charging box then only earbuds will start.NEVER EVER BUY TRUKE PRODUCTSrewrite in good EnglishChatGPT said:Here’s a polished and clear version of your review in good English, keeping the same meaning and strong tone:Writing this review after using the product for almost five months.The sound quality is average and not impressive.The hardware quality is poor.Within five months, I had to visit the service center twice.In Bangalore, there are very few service centers, so traveling twice to drop off and collect the earbuds cost me more than the earbuds themselves.When the earbuds are connected but idle (no music playing), they automatically shut down. After shutting down, they cannot be restarted using touch controls. To turn them back on, you must place them in the charging case.I strongly recommend never buying Truke products.Read more"
5.0 out of 5 stars,Great sound and battery life,"They sound really clear with good bass, plus the battery easily lasts for days. I especially love the forest green colour and premium leather finish, it looks stylish and unique. Overall, great value for the price with smooth connectivity and solid performance.Read more"
5.0 out of 5 stars,Quality,"Impressive sound quality  truke Mega 9 earbuds deliver 24-bit lossless spatial audio and 70H battery life. Fast charging leather finish, and ultra-low latency make them perfect for gaming and music. 4-mic ENC ensures clear calls. Value for moneyRead more"
3.0 out of 5 stars,Sound clarity,Good quality as I expectedRead more
4.0 out of 5 stars,"Performance on par, good dual pairing but...","1st day performance was good. Earphones lasted 5 hours with dual pairing and performed multiple tasks in those 5 hours - music, calls and watching videos. Haven't tested on gaming yet, because I'll get time for gaming in March. Size and weight is perfect to fit in small purses or add in last moment in an overfilled laptop bag.2nd day also gave good performance. That night I charged the box for about an hour or so. Next day I noticed that one side (as pictured) was wrinkly. I thought it was glue and checked my bag, but it wasn't. I realised it might be because of the charging because I tried removing it but started to feel the skeleton of the box. 😢 It ruins the look and feel, but I'm more practical than anything else.I'm keeping it coz it's useful. Mic is wonderful, sound quality is also good. And connectivity has me impressed too at this price range.I will update my review if performance fluctuates.Update:Personally huge drawback is that once it shuts off without the case nearby, it has no such control to switch it back on. Previous Boult ear buds I was using until now had the function where you press the ear buds for 5 seconds and it switches on, very convenient and useful feature.Update after 3 months:Sound quality is average.Battery is extremely average as well.And it doesn't stay put in the ears.A 3-star product which I would gladly buy if battery and design could be improved in exchange for a bit higher price.Read more"
5.0 out of 5 stars,Nice performance,"- Immersive sound with 24-bit spatial audio and 13mm drivers- Premium leather-textured design looks stylish- 70H playtime with fast charging is super convenient- Low latency mode great for gaming- Clear calls with ENC microphones- Great value for money, budget-friendlyRead more"
5.0 out of 5 stars,Nice product,"These earphones have good sound quality.It is durable, the charge last for 6-7 hours.Very comfortable to wear.Build quality is good.This product is totally worth it.Read more"
5.0 out of 5 stars,Best product at this price range,"Overall awesome product. look and feel is above the board , sound quality good according to price . Leather finish makes it more amazing and durable . It has dual pairing mode which makes it more futuristic. Touch control also good. Gaming mode latency is decent. I'm fully satisfied with this product.Read more"
5.0 out of 5 stars,Stylish earbuds,"Nice ear pods, stylish, looking good, great colour, sound quality is very good, fast charging, mic quality is good, value for money, touch control.Read more"
4.0 out of 5 stars,Packaging is not good,Product qualities GoodRead more
5.0 out of 5 stars,Great for daily use,"I loved the sound quality of this newly launched True Wireless Earbuds, the best part is the clarity in music and calls. It has Spatial Audio to enhance the music experience, Premium Leather Design, and a long battery life that lasts for days.Read more"
5.0 out of 5 stars,Stylish Design & Beastly Battery,"The truke Mega 12 is a total steal. The leather-textured finish looks premium, and the 70H playtime is incredible—I almost forget to charge them. Sound is crisp with solid bass thanks to the 13mm drivers, and the spatial audio adds a nice immersive touch. Great value for daily use and gaming.Read more"
5.0 out of 5 stars,Awesome.....,"These wireless earbuds to be of good quality, with amazing sound and excellent noise cancellation. They are comfortable, sitting well over the ears, and feature a long-lasting battery backup with quick charging capabilities. The Bluetooth connectivity receives mixed reviews - while some find it very good, others report connectivity issues.Read more"
4.0 out of 5 stars,Nice product,"Everything is fine....Good fit in ear comfortableSound quality is very nice at this priceNice finishing , butI give 4 star only because of low battery backup and sound leakage..Read more"
4.0 out of 5 stars,Good Product,"Product quality is good, standard sound quality, Bass is also good. Reasonable price as per qualityRead more"
3.0 out of 5 stars,Good,Over-all the product is very nice. I liked the product.Read more
4.0 out of 5 stars,Battery backup,"Great Value for Money – boAt Airdopes 219I’ve been using the boAt Airdopes 219 for a few weeks now and I’m really impressed with the performance at this price range. The sound quality is clear with good bass, which makes music and videos enjoyable. Bluetooth connectivity is fast and stable, and pairing was very easy.The earbuds are lightweight and comfortable even for long usage. Battery backup is also quite good , I can use them for several hours without worrying about charging. The touch controls work smoothly, and call quality is decent for daily use.Overall, this is a great budget-friendly option for anyone looking for stylish and reliable wireless earbuds. Definitely worth buying!Read more"
3.0 out of 5 stars,Pros and Cons,"Not that good, I've used many boat products since last 9 years. And this is the first boat product that actually I didn't like. Because the connection gets week while driving a bike and if phone is around 10 steps away. This is the only issue I am facing right now. Used this one for more than 3 months I believe and still in great shape. And yes I noticed latency while playing bgmi aswell. Apart form the above sound quality and built quality is good and yes I dropped this like 3 to 4 times and I was I like its over but not, great built quality.Read more"
3.0 out of 5 stars,Feedback,"I purchased boAt earbuds, but unfortunately my experience has been very disappointing. Please find my feedback below:There is no proper indication to know whether the earbuds are fully charged or how much battery percentage is currently available. This makes charging very inconvenient.The total battery life is only around 12 hours. Even if I charge the earbuds in the morning at 8 AM, they completely stop working by around 7–8 PM.The touch sensitivity is very poor. Even a slight accidental touch pauses the music or video. Overall, the touch controls do not work properly.Most importantly, after using the earbuds for some time, the audio starts breaking continuously. Whether I am listening to music or watching videos, the sound keeps cutting off, which makes them very difficult to use.Overall, the product does not perform as expected and needs significant improvement in quality and performance.-VIJAY MISHRA, VADODARARead more"
4.0 out of 5 stars,Deep bass and clear sound for the price  Lightweight & comfortable for long use  Magnetic earbuds,Deep bass and clear sound for the priceLightweight & comfortable for long useMagnetic earbuds prevent tanglingGood battery backup (around 6–8 hours)Affordable and stylish designRead more
4.0 out of 5 stars,"Sounds are distorted some times, please solves this issues in future. Thanks you Boat","I bought Boat Airdopes 219, its good product but some problems face on this, sounds good no doubt but when play music, watch movies sounds are distorted, others no connecting problems, no other issues. Thank you BoatRead more"
5.0 out of 5 stars,Deep bass,"Really impressed with these earbuds! The sound quality is clear and balanced, with deep bass that doesn’t overpower vocals. Active noise cancellation works surprisingly well, especially in busy environments. They fit comfortably and feel secure even during long use. Battery backup is solid, and fast charging is very convenient. Dual pairing makes switching between devices smooth. Overall, great value for the price — stylish design, premium feel, and reliable performance. Definitely a good buy! 🎧👍Read more"
5.0 out of 5 stars,Good product,"I’ve been using these earbuds for a while now, and overall, I’m quite impressed. The sound quality is clear and well-balanced, with decent bass that doesn’t overpower the mids and highs. They work well for both music and calls, and I didn’t notice any major distortion even at higher volumes.The fit is comfortable and secure, making them suitable for long listening sessions or workouts. The design is sleek and lightweight, so they don’t feel bulky in the ears. Connectivity has been smooth so far, with quick pairing and minimal dropouts.Battery life is another strong point—they easily last through the day with regular use, and the charging case adds extra convenience. The touch controls (if applicable) are responsive, though they may take a little time to get used to.On the downside, the noise isolation could be better, especially in very loud environments. Also, the microphone quality is decent but not exceptional for calls in noisy surroundings.Overall, these earbuds offer good value for the price and are a solid choice for everyday use.Read more"
5.0 out of 5 stars,Experience for every penny used.,"What a breath taking look and design! This is best in classs model.  Its strong Noise Cancellation of 51db separates us from the outer world. It is best used in traffic, flights or metro. Its audio quality by Bose gives clear and balanced notes. It is comfortable to use. Its dual device pairing is a proFor UserRead more"
5.0 out of 5 stars,Good Product Value for money,"After using for a week, I fall in love with these earbuds. Clear sound quality with deep bass. Unique design and Mercury colour is awesome in look. super fast and stable connectivity. Comfortable to wear and ANC works well in noisy places. While listening to music in 360° Spatial Audio feature,I feel relaxed. Huge battery backup. Overall, great product that justify it's price. Worth buying.Read more"
5.0 out of 5 stars,One of the best earbuds in mid premium range(must buy),"Writing this review after 10 days of usage. I recently bought the Master Buds 2, for my daily office work and gym, and I am impressed with their performance. The sound quality is amazing. The noise app makes the experience better with more control over the earbuds. The sound is crisp and clear, tuned by Bose which it shows, delivering a rich audio experience that makes listening to music and taking calls a pleasure. One of the standout features is the Active Noise Cancellation (ANC), which works exceptionally well to block out ambient noise. This makes them perfect for use in busy environments or during travel, allowing me to focus completely on what I’m listening to. The design is sleek and comfortable, fitting securely for long hours of wear without any discomfort. Overall, the Master Buds 2 offer great value for their price with excellent ANC and impressive sound quality.Battery 10/10sound: 9/10Build quality: 8.5/10Comfort: 10/10Highly recommended for office professionalsRead more"
5.0 out of 5 stars,BEST EVER EARBUDS,"Super impressed with these buds! The sound is crisp with solid bass, and the ANC actually makes a noticeable difference in noisy places. They’re comfy for long use and the battery easily lasts through the day. Pairing is quick, and call quality is clear too. Overall, great value for the price 👍Read more"
5.0 out of 5 stars,Long battery backup and comfortable earbuds.,These buds are super premium and easy to pair with my phone and laptop at same time. It's very comfortable inside the ears and I can use this for long time. Noise cancellation working perfectly. Sound quality is top notch and customisable too.Read more
5.0 out of 5 stars,Game changer in premium audio,"I’ve used a lot of TWS earbuds over the years, and most of them fall into two buckets - either they’re loud and bass-heavy but messy, or they’re balanced but boring. The Master Buds 2 sit nicely in the middle, and that’s what makes them interesting.The first thing you notice is the sound tuning. These are tuned with Sound by Bose, and it shows. The bass is deep but controlled, the mids are clean, and the highs don’t pierce your ears even after long listening sessions.Other things I liked:LHDC Hi-Res audio supportDual device pairingFast chargeGood batteryComfortable fitPremium and rather unique designIf you’re looking for earbuds under ₹10K that focus on sound quality + ANC + call clarity rather than just bass and marketing features, these are definitely worth considering.Read more"
